date,open,high,low,close,volume,settle,change,percent
2021-06-22 16:00:00,1778.735,1778.7637,1777.7697,1778.4025,15.0,0.0,0.052490234,2.9516257e-05
2021-06-23 16:00:00,1775.1779,1775.2258,1775.1779,1775.1996,22.0,0.0,-3.2028809,-0.0018009876
2021-06-24 16:00:00,1775.1779,1790.255,1772.6,1781.61,112326.0,0.0,6.4104004,0.003611087
2021-06-27 16:00:00,1778.2084,1778.2306,1777.4,1777.4,26.0,0.0,-4.209961,-0.0023630094
2021-06-28 16:00:00,1761.0856,1761.0953,1760.65,1760.65,18.0,0.0,-16.75,-0.009423877
2021-06-29 16:00:00,1769.7919,1769.8075,1769.76,1769.7937,17.0,0.0,9.143677,0.0051933527
2021-06-30 16:00:00,1776.5233,1776.5806,1775.83,1775.83,25.0,0.0,6.036255,0.003410711
2021-07-01 16:00:00,1776.5233,1795.07,1773.3,1786.2,119020.0,0.0,10.369995,0.00583952
2021-07-04 16:00:00,1791.623,1791.648,1791.5917,1791.648,31.0,0.0,5.447998,0.0030500493
2021-07-05 16:00:00,1796.7,1796.89,1796.2539,1796.634,24.0,0.0,4.986084,0.0027829597
2021-07-06 16:00:00,1803.41,1803.415,1803.41,1803.41,5.0,0.0,6.776001,0.0037714976
2021-07-07 16:00:00,1802.49,1802.57,1802.4515,1802.56,36.0,0.0,-0.8499756,-0.00047131575
2021-07-08 16:00:00,1802.49,1812.33,1796.4,1808.048,126099.0,0.0,5.487915,0.0030445117
2021-07-11 16:00:00,1805.8875,1805.9106,1805.8875,1805.91,16.0,0.0,-2.1379395,-0.0011824573
2021-07-12 16:00:00,1807.4451,1807.4718,1806.89,1807.1,28.0,0.0,1.1899414,0.0006589151
2021-07-13 16:00:00,1827.0717,1827.158,1825.91,1827.158,26.0,0.0,20.057983,0.0110995425
2021-07-14 16:00:00,1829.1766,1829.2053,1828.68,1828.68,30.0,0.0,1.5220947,0.00083303946
2021-07-15 16:00:00,1829.1766,1832.01,1808.8,1811.96,124582.0,0.0,-16.720093,-0.0091432575
2021-07-18 16:00:00,1812.365,1812.3654,1812.3,1812.34,25.0,0.0,0.38000488,0.00020972035
2021-07-19 16:00:00,1810.0155,1810.0745,1810.0045,1810.0745,26.0,0.0,-2.265503,-0.001250043
2021-07-20 16:00:00,1803.3206,1803.321,1802.8523,1802.8645,28.0,0.0,-7.209961,-0.00398324
2021-07-21 16:00:00,1806.695,1806.7006,1806.6666,1806.69,27.0,0.0,3.8254395,0.0021218674
2021-07-22 16:00:00,1806.695,1810.31,1789.86,1801.78,117700.0,0.0,-4.909912,-0.0027176286
2021-07-25 16:00:00,1801.978,1811.49,1795.3,1797.36,121026.0,0.0,-4.420044,-0.002453154
2021-07-26 16:00:00,1797.27,1805.2,1792.6,1798.69,120839.0,0.0,1.329956,0.00073994976
2021-07-27 16:00:00,1798.7375,1809.82,1792.42,1806.83,122928.0,0.0,8.140015,0.004525524
2021-07-28 16:00:00,1806.8737,1832.67,1805.2,1827.6,120574.0,0.0,20.77002,0.011495282
2021-07-29 16:00:00,1827.95,1831.24,1809.2,1813.86,117883.0,0.0,-13.73999,-0.007518051
2021-08-01 16:00:00,1813.878,1819.5,1805.4,1813.355,118894.0,0.0,-0.5050049,-0.0002784145
2021-08-02 16:00:00,1813.38,1814.954,1806.94,1810.255,110694.0,0.0,-3.0999756,-0.001709525
2021-08-03 16:00:00,1810.36,1831.72,1806.35,1811.4,110662.0,0.0,1.1450195,0.0006325184
2021-08-04 16:00:00,1811.39,1814.82,1797.75,1803.86,113869.0,0.0,-7.540039,-0.0041625476
